of the Unleavened Bread,ܕܦܛܝܪ̈ܐ
"the Second Day of the Week, of the Sixth Week of the Fast, in the Evening",ܝܘܡ ܬܪ̈ܝܢ ܒܫܒܐ ܕܫܒܬܐ ܕܫܬ ܕܨܘܡܐ ܒܪܡܫܐ
"the Third Day of the Week, of the Sixth Week of the Fast",ܝܘܡ ܬܠܬܐ ܒܫܒܐ ܕܫܒܬܐ ܕܫܬ ܕܨܘܡܐ
"the Third Day of the Week, of the Sixth Week of the Fast, in the Evening",ܝܘܡ ܬܠܬܐ ܒܫܒܐ ܕܫܒܬܐ ܕܫܬ ܕܨܘ܏ܡ ܒܪܡܫܐ
"the Fourth Day of the Week, of the Sixth Week of the Fast, in the Morning",ܝܘܡ ܐܪܒܥܒܫܒܐ(!) ܕܫܒܬܐ ܕܫܬ ܕܨܘ܏ܡ ܒܨܦܪܐ
"the Fourth Day of the Week, of the Sixth Week, in the Evening",ܝܘܡ ܐܪܒܥ ܒܫܒܐ ܕܫܒܬܐ ܕܫܬ ܒܪܡܫܐ
"the Fifth Day of the Week, in the Sixth Week of the Fast, in the Morning",ܝܘܡ ܚܡܫܐ ܒܫܒܐ ܒܫܒܬܐ ܕܫܬ ܕܨܘܡܐ ܒܨܦܪܐ.
"the Fifth Day of the Week, in the Sixth Week, of the Fast, in the Evening",ܝܘܡ ܚܡܫܐ ܒܫܒܐ ܒܫܒܬܐ ܕܫܬ ܕܨܘܡܐ ܒܪܡܫܐ
"the Day of the Eve of Preparation, in the Sixth Week of the Fast, in the Morning",ܝܘܡ ܥܪܘܒܬܐ ܒ܏ܫܒ ܕܫܬ ܕܨܘܡܐ -.- ܒܨܦܪܐ
"the Day of the Eve of Preparation, of the Sixth Week of the Fast, in the Evening",ܝܘܡ ܥܪܘܒܬܐ ܕܫܒܬܐ ܕܫܬ ܕܨܘܡܐ ܒܪܡܫܐ
for the Dawn of the Feast of the Hosannas,ܒܡܓܗܝ ܥܐܕܐ ܕܐܘܫܥܢܐ
"the Second Day of the Week, of the Great Week, in the Morning",ܝܘܡ ܬܪ̈ܝܢ ܒܫܒܐ ܕܫܒܬܐ ܪܒܬܐ ܒܨܦܪܐ
"the Second Day of the Week, of the Great Week, in the Evening",ܝܘܡ ܬܪ̈ܝܢ ܒܫܒܐ ܕܫܒܬܐ ܪܒܬܐ ܒܪܡܫܐ
"the Third Day of the Week, of the Great Week, in the Morning",ܝܘܡ ܬܠܬܐ ܒܫܒܐ ܕܫܒܬܐ ܪܒܬܐ ܒܨܦܪܐ
"the Third Day of the Week, of the Great Week, in the Evening",ܝܘܡ ܬܠܬܐ ܒܫܒܐ ܕܫܒܬܐ ܪܒܬܐ ܒܪܡܫܐ
"the Fourth Day of the Week, of the Great Week, in the Morning",ܝܘܡ ܐܪܒܥܐ ܒܫܒܐ ܒܫܒܬܐ ܪܒܬܐ ܒܨܦܪܐ
"the Fourth Day of the Week, in the Evening",ܝܘܡ ܐܪܒܥܐ ܒܫܒܐ ܒܪܡܫܐ
"the Fifth Day of the Week, of the Great Week, in the Morning",ܝܘܡ ܚܡܫܐ ܒܫܒܐ ܕܫܒܬܐ ܪܒܬܐ ܒܨܦܪܐ
"for the Fifth Day of the Week, of the Great Week, in the Evening",ܒܝܘܡ ܚܡܫܐ ܒܫܒܐ ܕܫܒܬܐ ܪܒܬܐ ܒܪܡܫܐ
"the Great Day of the Eve of Preparation, of the Passion, in the Morning",ܝܘܡ ܥܪܘܒܬܐ ܪܒܬܐ ܕܚܫܐ ܒܨܦܪܐ
in the Sixth Hour of the Great Eve of Preparation,ܒܬܫ̈ܥ ܫ̈ܥܝܢ ܕܥܪܘܒܬܐ ܪܒܬܐ܆
"the Day of the Great Sabbath, in the Morning",ܝܘܡ ܫܒܬܐ ܪܒܬܐ ܒܨܦܪܐ
"the Day of the Great Sabbath, in the Evening",ܝܘܡ ܫܒܬܐ ܪܒܬܐ ܒܪܡܫܐ
the Dawn of the Feast of the Ascension of our Lord,ܢܓܗ ܥܐܕܐ ܕܣܘܠܩܗ ܕܡܪܢ
"the Day of Sabbath, before Pentecost, in the Evening; of the Holy Fathers",ܝܘܡ ܫܒܬܐ ܕܩܕܡ ܦܢܛܝܩܘ̇ܣܛܝ ܒܪܡܫܐ܆ ܕܐܒܗ̈ܬܐ ܩܕܝܫ̈ܐ:
"Paramone, that is to say the Dawn of First (Day) of the Week of Pentecost",ܦܐܪܐܡܘܝ ܐܘܟܝܬ ܢܓܗ ܚܕܒܫܒܐ ܕܦܢܛܝܩܘܣܛܝ.
"the Dawn of the First (Day) of the Week, after Pentecost; the Feast of All the Saints",ܢܓܗ ܚܕܒܫܒܐ ܕܒܬܪ ܦܢܛܝܩܘܣܛܝ ܥܐܕܐ ܕܟܠܗܘܢ ܩܕܝܫ̈ܐ
"The Month Elul, the Beginning of the year; the Holy Feast of Mar Stephen, the Dawn of the very Feast",ܐܝܠܘܠ ܝܪܚܐ ܪܝܫ ܫܢܬܐ -.- ܥܐܕܐ ܕܩܕܝܫܐ ܡܪܝ ܕܐܣ̈ܛܘܢܝܐ ܢܓܗ ܥܐܕܐ ܕܝܠܗ
"for the 8th of Elul, the Feast of the Begetting of the God-Bearer",ܒ܏ܚ: ܒܐܝܠܘܠ: ܥܐܕܐ ܕܡ̇ܘܠܕܗ̇ ܕܝܠܕܬ ܐܠܗܐ.
"for the 14th of Elul, the Feast of the Holy Cross, the Dawn of the Feast of the Cross",ܒ܏ܝܕ: ܒܐܝܠܘܠ ܥܐܕܐ ܩܕܝܫܐ ܕܨܠܝܒܐ ܢܓܗ ܥܐܕܐ ܕܨܠܝܒܐ
"for the Twenty-Sixth of Elul, the Feast of Mar John the Evangelist, the Dawn of the Feast",ܒܥܣܪܝܢ ܘܫܬܐ ܒܐܝܠܘܠ ܥܐܕܐ ܕܡܪܝ ܝܘܚܢܢ ܐܘܢܓܠܝܣܛܐ ܢܓܗ ܥܐܕܐ
"for the Second of Shebat, the Feast of the Entry of our Lord in the Temple, the Dawn of the Feast",ܒܬܪܝܢ ܒܫܒܛ ܥܐܕܐ ܕܡܥܠܬܗ ܕܡܪܢ ܠܗܝܟܠܐ ܢܓܗ ܥܐܕܐ
"for the 25th of the Month of Adar, the Feast of the Annunciation of the God-Bearer",܏ܒܟܗ ܒܐܕܪ ܝܪܚܐ. ܥܐܕܐ ܕܣܘܒܪܗ̇ ܕܝܠܕܬ ܐܠܗܐ܀
"the 29th of Ḥaziran, the Feast of the Chief Apostles Peter and Paul, the Dawn of the Feast",ܢܓܗ ܥܐܕܐ  ܒܟܛ: ܒܚܙܝܪܢ ܥܐܕܐ ܕܪ̈ܝܫܝ ܫ̈ܠܝܚܐ ܦܛܪܘܣ ܘܦܘܠܘܣ.
"for the Sixth of Ab, the Feast of the change of our Lord on Tabor, the Dawn of the Feast",ܒܫܬܐ ܒܐܒ ܥܐܕܐ ܕܡܫܬܚܠܦ ܕܡܪܢ ܕܒܛܒܘܪ ܢܓܗ ܥܐܕܐ
"Furthermore, of the Renewal of the Church",ܬܘܒ ܕܚܘܕܬ ܥܕܬܐ
Readings of the Annunciation of Zechariah,ܩܪ̈ܝܢܐ ܕܣܘܒܪܗ ܕܙܟܪܝܐ.
Readings of the Feast of the Annunciation of the God-Bearer,ܩܪ̈ܝܢܐ ܕܥܐܕܐ ܕܣܘܒܪܗ̇ ܕܝܠܕܬ ܐܠܗܐ.
Readings of the Journey of Mary towards Elizabeth,ܩܪ̈ܝܢܐ ܕܡܐܙܠܬܐ ܕܡܪܝܡ ܨܝܕ ܐܠܝܫܒܥ.
"Furthermore, Readings of the Feast of the Holy Birth, in the Evening",ܬܘܒ ܩܪ̈ܝܢܐ ܕܥܐܕܐ ܕܝ̣ܠܕܐ ܏ܩܕ ܕܪܡܫܐ
"Furthermore, the Readings of the very Morning, of the Feast of the Birth",ܬܘܒ ܩܪ̈ܝܢܐ ܕܨܦ̈ܪܐ܆ ܕܝܠܗ ܕܥܐܕܐ ܕܝܠܕܐ
"Furthermore, Readings of the Feast of the God-Bearer",ܬܘܒ ܕܥܐܕܐ ܕܝ̇ܠܕܬ̇ ܐܠܗܐ
Readings of the Commemoration of the Infants,ܩܪ̈ܝܢܐ ܕܕܘܟܪܢ ܝܠܘ̈ܕܐ
"Readings of the First (Day) of the Week, after the Birth",ܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܕܒܬܪ ܝܠ̣ܕܐ
"Readings of the Feast of Basilios, Gregorios, and the Rest of the Teachers; and of a Martyr",ܩܪ̈ܝܢܐ ܕܥ̈ܐܕܐ ܕܒܐܣܝܠܝܘܣ ܘܓܪܝܓܘܪܝܘܣ ܘܫܪܟܐ ܕܡ̈ܠܦܢܐ ܘܕܣܗܕܐ ܀
"of the First (Day) of the Week, the Second, after the Birth",ܕܚܕܒܫܒܐ ܕܬܪ̈ܝܢ ܕܒ̇ܬܪ ܝܠ̣ܕܐ
Readings of the Holy Feast of the Manifestation,ܩܪ̈ܝܢܐ ܕܪܡܫܐ ܕܥܐܕܐ ܕܕܢܚܐ
"Readings of the Blessing of the Water, in the Night of the Manifestation",ܩܪ̈ܝܢܐ ܕܒܪܘܟ ܡ̈ܝܐ ܕܒܠܠܝܐ ܕܕܢܚܐ
Readings of the very Morning of the Feast of the Manifestation,ܩܪ̈ܝܢܐ ܕܨ̇ܦܪܐ ܕܝܠܗ ܕܥܐܕܐ ܕܕܢܚܐ
"Reading , for the Commemoration of John the Baptist",ܩܪܝܢܐ(!) ܒܕܘܟܪܢܐ ܕܝܘܚܢܢ ܡܥܡܕܢܐ
"Readings on Mar Stephen, and on all Martyrs",ܩܪ̈ܝܢܐ ܕܥܠ ܣܛܦܢܘܣ ܘܥܠ ܟܠܗܘܢ ܣ̈ܗܕܐ
Readings of the Feast of the Entry of our Lord in the Temple,ܩܪ̈ܝܢܐ ܕܥܐܕܐ ܕܡܥܠܬܗ ܕܡܪܢ ܠܗܝܟܠܐ
"Readings of the First (Day) of the Week, the First after the Manifestation",ܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܩܕܡܝܐ ܕܒ̇ܬܪ ܕܢܚܐ
"Readings of the First (Day) of the Week, the Second, after the Manifestation",ܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܕܬܪ̈ܝܢ ܕܒ̇ܬܪ ܕܢܚܐ
"Readings of the First (Day) of the Week, the Third, after the Manifestation",ܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܕܬ̈ܠܬܐ ܕܒ̇ܬܪ ܕܢܚܐ
"Readings of the First (Day) of the Week, the Fourth, after the Manifestation",ܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܕܐܪ̈ܒܥܐ ܕܒ̇ܬܪ ܕܢܚܐ
"Readings of the First (Day) of the Week, the Fifth after the Manifestation",ܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܕܚܡ̈ܫܐ ܕܒ̇ܬܪ ܕܢܚܐ
"Readings of the First Day of the Week, of the confirming; for it the Commemoration of the Priests and the Rest, of the Just and the Fathers",ܩܪ̈ܝܢܐ ܕܝܘܡ ܚܕܒܫܒܐ ܕܡܫܬ̇ܡܠܐ ܒܗ ܕܘܟܪܢܐ ܕܟܗ̈ܢܐ ܘܫܪܟܐ ܕܟܐ̈ܢܐ ܘܐܒ̈ܗܬܐ
"Furthermore, by the Help of God, we begin to write the Readings of the Great Feast of the Resurrection - which renews everything - of Christ our God, of the Dawn of the Great First (Day) of the Week, First",ܕܢܓܗ ܕܚܕܒܫܒܐ ܪܒܐ܀ ܬܘܒ ܒܝܕ ܐܠܗܐ ܒܫܪܝܢܢ ܕܢܟܬܘܒ ܩܪ̈ܝܢܐ ܕܥܐܕܐ ܪܒܐ ܕܩܝܡܬܐ ܡܚܕܬܬ ܟܠ ܕܡܫܝܚܐ ܐܠܗܢ ܏ܩܕܡ
"First, the Dawn of the Second (Day) of the Week",ܩܕܡܝܸܬ̇ ܕܢ̇ܓܗ ܬܪ̈ܝܢ ܒܫܒܐ
"First, the Readings of the Day, the First (Day) of the Week, of the Beginning of the Fast",܏ܩܕܡܐ ܩܪ̈ܝܢܐ ܕܝܘܡ ܚܕܒܫܒܐ ܕܥܠܠ ܨܘܡܐ
"Readings of the Second (Day) of the Week, of the Fast",ܩܪ̈ܝܢܐ ܕܬܪ̈ܝܢ ܒܫܒܐ ܕܨܘܡܐ܀
"Readings of the Third Day of the Week, of the First Week of Fast",ܩܪ̈ܝܢܐ ܕܝܘܡ ܬܠ̈ܬܐ ܕ܏ܫܒ ܏ܩܕܡ ܕܨܘܡܐ
"Readings of the Fourth Day of the Week, of First, of the Fast",ܩܪ̈ܝܢܐ ܕܝܘܡ ܐܪ̈ܒܥܐ ܕ܏ܫܒ ܏ܩܕܡ ܕܨܘܡܐ܀
"of Day Five, of the First Week of the Fast",ܕܝܘܡ ܚܡ̈ܫܐ ܕ܏ܫܒ ܏ܩܕ ܕܨܘܡܐ
"of the Eve of Preparation, the First, of the Fast",ܕܥܪܘܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ
"of the Day of Sabbath, of the First Week of the Fast",ܕܝܘܡ ܫܒܬܐ ܕ܏ܫܒ ܏ܩܕ ܕܨܘܡܐ
"Readings of the First Day of the Week, the Second, of the Fast",ܩܪ̈ܝܢܐ ܕܝܘܡ ܚܕܒܫܒܐ ܕܬܪ̈ܝܢ ܕܨܘܡܐ
"Readings of the First (Day) of the Week, the Third, of the Fast",ܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܕܬ̈ܠܬܐ ܕܨܘܡܐ..
"Readings, of the First (Day) of the Week, the Fourth, after the Fast",ܩܪ̈ܝܢܐ ܕܝܘܡ ܚܕܒܫܒܐ ܕܐܪ̈ܒܥ ܕܨܘܡܐ܀
"Readings, of the First (Day) of the Week, the Fifth of the Fast",ܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܕܚܡ̈ܫܐ ܕܨܘܡܐ:
"for the 26th of Teshri I, the Feast of Dimitrios the Martyr, the Dawn of the Feast",܏ܒܟܘ ܒܬܫܪ̈ܝܢ. ܏ܐ. ܥܐܕܐ ܕܣܗܕܐ ܕܝܡܛܪܝܘܣ. ܢܓܗ. ܥܐܕܐ
of the Middle of the Holy Fast,ܕܦ̇ܠܓܗ ܕܨܘܡܐ ܩܕܝܫܐ
"First, of the Dawn of the First (Day) of the Week, of the Hosannas",ܘܩܕܡܐܝܬ ܕܢܓܗ ܚܕܒܫܒܐ ܕܐܘ̈ܫܥܢܐ܀
"Readings of the very Morning of the First (Day) of the Week, of the Hosannas",ܩܪ̈ܝܢܐ ܕܨܦܪܐ ܕܝܠܗ ܕܚܕ܏ܒܫ ܕܐܘܫ̈ܥܢܐ:
of the Second Day of the Week of Passion,ܕܝܘܡ ܬܪ̈ܝܢ ܒܫܒܐ ܕܚܫܐ:
"of the Third Day of the Week, of Passion",ܕܝܘܡ [.]ܬ̈ܠܬܐ ܒܫܒܐ ܕܚܫܐ
"of the Fourth (Day) of the Week, of Passion",ܕܝܘܡ ܐܪ̈ܒܥܐ ܒܫܒܐ ܕܚܫܐ
"of Day Five, of the Mystery",ܕܝܘܡ ܚܡ̈ܫܐ ܕܪܐܙܐ:
Readings of the Great Service of the Consecration of the Myron,ܩܪ̈ܝܢܐ ܕܬܫܡܫܬܐ ܪܒܐ ܕܩܘܕܫ ܡ̇ܘܪܘܢ.
Readings of the Washing,ܩܪ̈ܝܢܐ ܕܫܝܓܬ:
"Readings of his Offering, of the Fifth (Day) of Mystery, for the Moment of the Evening, of the Eve of Preparation, of the Passion",ܩܪ̈ܝܢܐ ܕܩܘܪܒܐ ܕܝܠܗ ܕܚ̈ܡܫܐ ܕܪܐܙܐ ܒܥܕܢ ܪܡܫܐ ܕܥܘܪܒܬܐ(!) ܕܚ̣ܫܐ:
"Readings of First Service of the Night of the Eve of Preparation, of the Crucifixion",ܩܪ̈ܝܢܐ ܕܬܫܡܫܬܐ ܩܕ[...] ܕܠܠܝܐ ܕܥܪܘܒܬܐ ܕܙܩܝܦܘܬܐ.
"Readings of Second Service of the Night of the Eve of Preparation, of Passion",ܩܪ̈ܝܢܐ ܕܬܫܡܫܬܐ ܕܬܪ̈ܬܝܢ ܕܠܠܝܐ ܕܥܪܘܒܬܐ ܕܚܫܐ:
"Readings of Third Service of the Night of the Eve of Preparation, of Passion",ܩܪ̈ܝܢܐ ܕܬܫܡܫܬܐ ܕܬ̈ܠܬ ܕܠܠܝܐ ܕ܏ܥܪܘܒ ܕܚܫܐ:
"Readings of the Morning, of the Eve of Preparation, of the Crucifixion",ܩܪ̈ܝܢܐ ܕܨ̇ܦܪܐ ܕܥܪܘܒܬܐ ܕܙܩܝܦܘܬܐ܀
Readings of the Third Hour of the Eve of Preparation,ܩܪ̈ܝܢܐ ܕܬ̈ܠܬ ܫ̈ܥܝܢ ܕܥܪܘܒܬܐ
"Readings of mid-Day of the Eve of Preparation, of Passion",ܩܪ̈ܝܢܐ ܕܦܠܓܗ ܕܝܘܡܐ ܕܥ܏ܪܘܒ ܕܚܫܐ..
"Readings of the Feast, of the Ninth Hour of the Eve of Preparation, of Passion",ܩܪ̈ܝܢܐ ܕܥܐܕܐ ܕܬܫ̈ܥ ܫ̈ܥܝܢ ܕ܏ܥܪܘ ܕܚܫܐ..
Readings of the Dawn of the Sabbath of the tomb,ܩܪ̈ܝܢܐ ܕܢܓܗ ܫܒܬܐ: ܕܩܒܘܪܬܐ.
of the Morning of the Sabbath of the Gospel,ܕܨܦܪܐ ܕܫܒܬܐ ܕܣܒܪܬܐ:
"Readings of the Morning of the Great First (Day) of the Week, of the Resurrection",ܩܪ̈ܝܢܐ ܕܨܦܪܐ ܕܚܕܒܫܒܐ ܪܒܐ ܕܩܝܡܬܐ:
"of Day two in the Week, of the Whites",ܕ[ܝܘܡ] ܬܪ̈ܝܢ ܒܫܒܐ ܕܚܘܪ̈ܐ.
"of Day three, of the Whites",ܕܝܘܡ ܬܠܬܐ ܕܚܘܪ̈ܐ...
"of the Fourth (Day) of the Week, of the Whites",ܕܝܘܡ ܐܪ̈ܒܥܐ ܒܫܒܐ ܕܚܘܪ̈ܐ
"of Day Five, of the Whites",ܕܝܘܡ ܚܡ̈ܫܐ ܕܚܘܪ̈ܐ:
"of the Day of Eve of Preparation, of the Whites",ܕܝܘܡ ܥܪܘܒܬܐ ܕܚܘܪ̈ܐ
"of the Day of Sabbath, of the Whites",ܕܝܘܡ ܫܒܬܐ ܕܚܘܪ̈ܐ...
Readings of the New First Day of the Week,ܩܪ̈ܝܢܐ ܕܝܘܡ ܚܕܒܫܒܐ ܚܕܬܐ:
"Readings of the First (Day) of the Week, the Second, after the Resurrection",ܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܕܬܪ̈ܝܢ ܕܒ̇ܬܪ ܕܩܝܡܬܐ.
"of the First (Day) of the Week, the Third after the Resurrection",(!)ܕܚܕܒܫܒܐ ܕܬ̈ܠܬܐ ܕܒ̇ܬܪ ܩܝܡܬܐ
"Readings, of the First (Day) of the Week, the Fourth, after the Resurrection",ܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܕܐܪ̈ܒܥܐ ܕܒ̇ܬܪ ܩܝ̣ܡܬܐ:
"Readings of the First (Day) of the Week, the Fifth, after the Resurrection",ܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܕܚܡܫܐ ܕܒ̇ܬܪ ܩܝ̣ܡܬܐ.
Readings of the Day of the Feast of the Ascension of our Lord to Heaven,ܩܪ̈ܝܢܐ ܕܝܘܡ ܥܐܕܐ ܕܣܘܠܩܐ ܕܡܪܢ ܠܫܡܝܐ..
"Readings of the First (Day) of the Week after the Ascension, which is the Sixth after the Resurrection",ܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܕܒ̇ܬܪ ܣܘܠܩܐ. ܕ܏ܐܝܬܘ ܕܫ̈ܬܐ ܕܒ̇ܬܪ ܩܝ̣ܡܬܐ
Readings of First Day of the Week of Pentecost,ܩܪ̈ܝܢܐ ܕܝܘܡ ܚܕܒܫܒܐ ܕܦܢܛܝ܏ܩܘ
"Readings of the First (Day) of the Week, the First after Pentecost",ܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܩܕܡܝܐ ܕܒ̇ܬܪ ܦܐܢܛܝܩܘܣܛܐ..
"of the First (Day) of the Week, the Second, after Pentecost",ܕܚܕܒܫܒܐ ܕܬܪ̈ܝܢ ܕܒܬܪ ܦ܏ܢܛܝܩ.
"Readings of the First (Day) of the Week, the Third, after Pentecost",ܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܕܬ̈ܠܬܐ ܕܒ̇ܬܪ ܦܢܛ܏ܝܩܘ:
"of the First (Day) of the Week, the Fourth, after Pentecost",ܕܚܕܒܫܒܐ ܕܐܪ̈ܒܥܐ ܕܒ̇ܬܪ ܦ܏ܢܛܝ
"of the First (Day) of the Week, the Fifth, after Pentecost",ܕܚܕܒܫܒܐ ܕܚܡ̈ܫܐ ܕܒ̇ܬܪ ܦܢܛ܏ܝܩܘ :
"of the First (Day) of the Week, the Sixth, after Pentecost",ܕܚܕܒܫܒܐ ܕܫ̈ܬܐ ܕܒ̇ܬܪ ܦܢܛܝ܏ܩܘ :
"of the First (Day) of the Week, the Seventh, after Pentecost",ܕܚܕܒܫܒܐ ܕܫ̈ܒܥܐ ܕܒ̇ܬܪ ܦܢܛ܏ܝܩ
"Furthermore, Readings of the Rogations because of every form of rods of Anger",ܬܘܒ ܩܪ̈ܝܢܐ ܕܒ̈ܥܘܬܐ ܕܡܛܠ ܟܠ ܙܢܐ ܕܫ̈ܒܛܐ ܕܪܘܓܙܐ:
Readings of the First Order,ܩܪ̈ܝܢܐ ܕܛܟܣܐ ܩܕܡܝܐ
"Furthermore, the Readings on the Honourable Feast of the Renewal of the Adorable Cross",ܬܘܒ ܩܪ̈ܝܢܐ ܕܥܠ ܥܐܕܐ ܡܝܩܪܐ ܕܚܘܕܬܐ ܕܨܠܝܒܐ ܣܓܝܕܐ:
"Furthermore, Readings that are to be read for the Commemoration of the Fathers in General, like Ignatian and Polycarp, Paul of Rabbula and the Rest of the Holy Ones",ܬܘܒ ܩܪ̈ܝܢܐ ܕܡܬܩܪܝܢ ܒܕܘܟܪܢܐ ܕܟܠܚܕ ܡܢ ܐܒܗ̈ܬܐ. ܕܐܝܟ ܐܝܓܢܐܛܝܘܣ ܘܦܠܘܩܪܦܘܣ. ܦܛܪܘܣ ܪܒܘܠܐ. ܘܫܪܟܐ ܕܩ̈܏ܕܝ
"Furthermore, Readings on the Reception of the Bishops",ܬܘܒ ܩܪ̈ܝܢܐ ܕܥܠ ܩܘܒܠܐ ܕܐܦ̈ܝܣ
"Furthermore, Readings of the Rogations of the Time of absence of Rain",ܬܘܒ ܩܪ̈ܝܢܐ ܕܒܥ̈ܘܬܐ ܕܙܲܒܢܐ ܕܓܠܝܙܘܬ ܡܛܪܐ̇:
"Furthermore, Readings of the Rogations because of every possible Rod of Anger",ܬܘܒ ܩܪ̈ܝܢܐ ܕܒ̈ܥܘܬܐ ܕܡܛܠ ܟܠ ܙܢܐ ܕܫ̈ܒܛܐ ܕܪܘܓܙܐ:
"First, of the Renewal of the Church, Readings",ܩܕܡܝܬ ܕܚܘܕܬ ܥܕܬܐ ܩܪ̈ܝܢܐ
"and it is read in the Eve of Preparation, in the Evening, together",ܘܡܬܩܪܝܐ ܒܥܪܘܒܬܐ ܒܪܡܫܐ: ܒܟܢܫܐ
"in the Morning, the Gospel of the Resurrection, further sing in supplication from the New and from the Old from what is suitable, and while entering the Temple, ",ܒܨܦܪܐ ܐܘܢܓܠܝܘܢ ܕܩܝܡܬܐ܀ ܒܒܥܘܬܐ ܕܝܢ ܡܙܡܪܝܢ ܡܢ ܚܕܬܐ ܘܡܢ ܥܬܝܩܬܐ ܡܢ ܕܥܗܢ ܘܟܕ ܥܐ̇ܠܝܢ ܠܗܝܟܠܐ
"in the Morning, the Gospel of the Resurrection, further sing in supplication from the New and from the Old, from what is suitable, while entering the Temple, ",ܒܨܦܪܐ ܐܘܢܓܠܝܘܢ ܕܩܝܡܬܐ܀ ܒܒܥܘܬܐ ܕܝܢ ܡܙܡܪܝܢ ܡܢ ܚܕܬܐ ܘܡܢ ܥܬܝܩܬܐ ܡܢ ܕܥܗܢ ܘܟܕ ܥܐ̇ܠܝܢ ܠܗܝܟܠܐ ܩܕܡܝܐ ܩܪܝܢ ܐܘܢܓܠܝܘܢ ܕܡܪܩܘܣ܀
"of the Second (Day) of the Week, of the Passion, in the Morning",ܕܬܪܝܢ ܒܫܒܐ ܕܚܫܐ: ܒܨܦܪܐ:
"for the Second (Day) of the Week, in the Evening, go out of the Beth Gaza while elevating the Evangelion and say this responsory",ܒܬܪܝܢ ܒܫܒܐ : ܒܪܡܫܐ: ܢܦܩܝܢ ܡܢ ܒܝܬ ܕܓܙܐ ܟܕ ܛܥܢܝܢ ܐܘܢܓܠܝܘܢ ܘܐܡܪܝܢ ܥܢܝܬܐ ܗܕܐ܀
"of the Third (Day) of the Week, of Passion, in the Morning",ܕܬ̈ܠܬܐ ܒܫܒܐ ܕܚܫܐ ܒܨܦܪܐ
"for the Third (Day) of the Week, in the Evening",ܒܬܠܬܐ: ܒܫܒܐ: ܒܪܡܫܐ:
Reading on the Witnessing Women(?),ܩܪܝܢܐ ܕܥܠ ܢܝܫܐ ܣܗܕܬܐ
"for the Fourth (Day) of the Week, in the Evening",ܒܐܪܒܥܐ ܒܫܒܐ. ܒܨܦܪܐ
of Mar Stephen; and the Departed deacons,ܕܡܪܝ ܐܣܛܦܢܘܣ ܘܕܥ̈ܢܝܕܐ ܡܫܡ̈ܫܢܐ
"for the Fourth (Day) of the Week, in the Evening",ܒܐܪܒܥܐ ܒܫܒܐ ܒܪܡܫܐ
"for the Fifth (Day) of the Week, in the Morning",ܒܚܡܫܐ ܒܫܒܐ ܒܨܦܪܐ
"in the Ninth Hour, in the Holy Myron",ܒܬܫܥ̈ܝܢ ܒܩܘܕܫ ܡܝܘܪܘܢ܀
"for the Fifth (Day) of the Week, of Mysteries, together",ܒܚܡܫܐ ܒܫܒܐ ܕܪ̈ܐܙܐ ܒܟܢܫܐ܀
and we read on the Adoration,ܘܩܪܝܢ ܥܠ ܫܓܕܬܐ
Reading of the Evening of Adoration,ܩܪ: ܕܦܢܝܐ ܕܣܓܕܬܐ
of the Martyrs and the Apostles,ܕܣܗ̈ܕܐ ܘܕܫ̈ܠܝܚܐ
the Last (Reading) of the Apostles,ܐܚܪܝܬܐ ܕܫ̈ܠܝܚܐ
of the Apostles and the Martyrs,ܕܫܠܝ̈ܚܐ ܘܕܣ̈ܗܕܐ
of Adoration,ܕܣܓܕܬܐ܀
"The 8th Reading, of the Morning of the Eve of Preparation",܏ܩܪ:ܕ܏ܚ :ܕܨܦܪܐ ܕܥܪܘܒܬܐ
"for the Eve of Preparation, 10th, in the Sixth Hour",ܒܥܪܘܒܬܐ: ܕܝ: ܒܫܬ: ܒܥܝܢ:
Readings of the Commemoration of the God-Bearer,ܩܪ̈ܝܢܐ ܕܕܘܟܪܢܐ ܕܝܠܕܬ ܐܠܗܐ.
"Furthermore, Readings for the Commemoration of John the Baptist",ܬܘܒ ܩܪܝܢܐ ܒܕܘܟܪܢܐ ܕܝܘܚܢܢ ܡܥܡܕܢܐ
"Furthermore, Readings of the Manifestation, in Day-Time",ܬܘܒ ܩܪ̈ܝܢܐ ܕܒܝܬ ܕܢܚܐ ܒܐܝܡܡܐ:
Readings of the Feast of the Cross,ܩܪ̈ܝܢܐ ܕܥܐܕܐ ܕܨܠܝܒܐ
Readings of the Washing,ܩܪ̈ܝܢܐ ܕܫܝܓܬܐ
